time,humidity,lux,temperature,led,servo
2023/05/12 13:58:44,37.9,0,30.2,,
2023/05/12 13:58:47,37.9,25.83,30.2,,
2023/05/12 13:58:50,37.9,25.83,30.22,,
2023/05/12 13:58:53,37.9,,30.22,,
2023/05/12 13:58:54,,25,,,
2023/05/12 13:59:03,37.99,0,30.23,,
2023/05/12 13:59:06,38.02,25,30.22,,
2023/05/12 13:59:09,38.02,25,30.23,,
2023/05/12 13:59:12,38.02,25,30.22,,
2023/05/12 13:59:13,,,,,off
2023/05/12 13:59:20,,,30.25,,
2023/05/12 13:59:21,37.97,,,,
2023/05/12 13:59:22,,25,,,
2023/05/12 13:59:23,37.97,25,30.26,,
2023/05/12 13:59:27,37.92,25,30.29,,
2023/05/12 13:59:29,,,30.29,,
2023/05/12 13:59:30,37.88,25,,,
2023/05/12 13:59:33,37.85,25,30.29,,
2023/05/12 13:59:35,,,,,on
2023/05/12 13:59:36,37.83,25,30.27,,
2023/05/12 13:59:44,37.85,25,30.31,,
2023/05/12 13:59:47,37.83,25,30.31,,
2023/05/12 13:59:50,37.83,25,30.31,,
2023/05/12 13:59:53,37.81,25,30.31,,
2023/05/12 13:59:56,37.76,25,30.3,,
2023/05/12 13:59:59,37.73,25,30.31,,
2023/05/12 14:00:00,,,,,off
2023/05/12 14:00:02,37.71,25,30.3,,
2023/05/12 14:00:06,37.68,,30.31,,
2023/05/12 14:00:07,,25,,,
2023/05/12 14:00:08,37.68,25,30.29,,
2023/05/12 14:00:10,,,,,on
2023/05/12 14:00:17,37.68,25,30.3,,
2023/05/12 14:00:20,37.71,25,30.3,,
2023/05/12 14:00:23,37.71,25,30.3,,
2023/05/12 14:00:26,37.71,25,30.27,,
2023/05/12 14:00:29,37.68,25,30.29,,
2023/05/12 14:00:32,,,30.29,,
2023/05/12 14:00:33,37.66,25,,,
2023/05/12 14:00:35,37.66,25,30.27,,
2023/05/12 14:00:38,37.63,25,30.26,,
2023/05/12 14:00:41,37.63,25,30.26,,
2023/05/12 14:00:44,37.61,25,30.25,,
2023/05/12 14:00:44,,,,,off
2023/05/12 14:00:47,,,30.27,,
2023/05/12 14:00:48,37.66,25,,,
2023/05/12 14:00:50,37.68,25,30.27,,
2023/05/12 14:00:54,,,30.29,,
2023/05/12 14:00:55,37.68,25,,,
2023/05/12 14:00:56,,,30.29,,
2023/05/12 14:00:56,,,,,on
2023/05/12 14:00:57,37.71,25,,,
2023/05/12 14:01:05,37.71,25,30.27,,
2023/05/12 14:01:08,37.71,25,30.29,,
2023/05/12 14:01:11,37.71,25,30.27,,
2023/05/12 14:01:14,37.68,25,30.27,,
2023/05/12 14:01:17,37.68,25,30.29,,
2023/05/12 14:01:20,37.68,25,30.3,,
2023/05/12 14:01:22,,,,,off
2023/05/12 14:01:23,37.68,25,30.3,,
2023/05/12 14:01:26,37.68,25,30.31,,
2023/05/12 14:01:29,37.68,25,30.3,,
2023/05/12 14:01:30,,,,on,
2023/05/12 14:01:32,,,30.29,,
2023/05/12 14:01:33,37.68,25,,,
2023/05/12 14:01:36,,,30.25,,
2023/05/12 14:01:37,37.68,25,,,
2023/05/12 14:01:38,,,30.25,,
2023/05/12 14:01:39,37.66,25,,,
2023/05/12 14:01:42,37.66,25,30.25,,
2023/05/12 14:01:45,37.66,25,30.25,,
2023/05/12 14:01:46,,,,off,
2023/05/12 14:01:48,37.68,25,30.26,,
2023/05/12 14:01:51,37.68,25,30.27,,
2023/05/12 14:01:54,37.68,25,30.29,,
2023/05/12 14:01:57,37.68,25,30.3,,
2023/05/12 14:02:00,37.68,25,30.3,,
2023/05/12 14:02:03,37.68,25,30.3,,
2023/05/12 14:02:06,37.68,25,30.3,,
2023/05/12 14:02:09,37.68,25,30.27,,
2023/05/12 14:02:12,37.68,25,30.27,,
2023/05/12 14:02:16,37.66,,30.27,,
2023/05/12 14:02:17,,25,,,
2023/05/12 14:02:18,37.66,25,30.27,,
2023/05/12 14:02:21,37.63,25,30.27,,
2023/05/12 14:02:24,37.59,25,30.29,,
2023/05/12 14:02:27,37.63,25,30.27,,
2023/05/12 14:02:30,37.63,25,30.27,,
2023/05/12 14:02:33,37.63,25,30.26,,
2023/05/12 14:02:37,37.63,25,30.27,,
2023/05/12 14:02:39,37.63,25,30.29,,
2023/05/12 14:02:42,,,30.3,,
2023/05/12 14:02:43,37.66,25,,,
2023/05/12 14:02:46,37.63,20,30.3,,
2023/05/12 14:02:49,37.66,27.5,30.29,,
2023/05/12 14:02:52,37.78,25,30.29,,
2023/05/12 14:02:55,37.83,24.17,30.29,,
2023/05/12 14:02:58,37.88,24.17,30.27,,
2023/05/12 14:03:01,37.88,24.17,30.3,,
2023/05/12 14:03:04,37.83,25,30.29,,
2023/05/12 14:03:07,37.81,24.17,30.26,,
2023/05/12 14:03:10,37.78,24.17,30.26,,
2023/05/12 14:03:13,37.73,24.17,30.26,,
2023/05/12 14:03:16,37.71,24.17,30.26,,
2023/05/12 14:03:19,37.66,25,30.23,,
2023/05/12 14:03:22,37.68,25.83,30.22,,
2023/05/12 14:03:25,37.68,25.83,30.2,,
2023/05/12 14:03:28,37.71,25.83,30.2,,
2023/05/12 14:03:31,37.71,25.83,30.19,,
2023/05/12 14:03:34,37.73,25.83,30.18,,
2023/05/12 14:03:37,37.71,25.83,30.15,,
2023/05/12 14:03:40,37.73,25.83,30.14,,
2023/05/12 14:03:43,,,30.12,,
2023/05/12 14:03:44,37.73,25.83,,,
2023/05/12 14:03:46,37.78,25.83,30.11,,
2023/05/12 14:03:50,37.78,25.83,30.11,,
2023/05/12 14:03:53,37.78,25.83,30.07,,
2023/05/12 14:03:56,37.78,25.83,30.06,,
2023/05/12 14:03:59,37.83,25.83,30.06,,
2023/05/12 14:04:02,37.83,25.83,30.03,,
2023/05/12 14:04:05,37.83,25.83,30.02,,
2023/05/12 14:04:08,37.85,25.83,30.03,,
2023/05/12 14:04:11,37.85,25.83,30.03,,
2023/05/12 14:04:14,37.85,25.83,30.02,,
2023/05/12 14:04:17,37.85,25.83,30.02,,
2023/05/12 14:04:20,37.85,25.83,30.03,,
2023/05/12 14:04:23,37.88,25.83,30.03,,
2023/05/12 14:04:26,37.9,25.83,30.04,,
